Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2015","Chlamydia trachomatis infection, Cum 2015, flag","Chlamydia trachomatis infection, Cum 2014","Chlamydia trachomatis infection, Cum 2014, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2015","Coccidioidomycosis, Cum 2015, flag","Coccidioidomycosis, Cum 2014","Coccidioidomycosis, Cum 2014, flag",Location 1,Location 2
TEXAS,2015,16,2244,,2620,,3265,,42915,,39367,,,N,0,,0,,,N,,N,"TEXAS
(31.82724, -99.426768)",
ARIZONA,2015,16,537,,596,,873,,7512,,9606,,145,,90,,177,,1567,,2138,,"ARIZONA
(34.865974, -111.763807)",
OHIO,2015,16,148,,1058,,1249,,15293,,16252,,,-,0,,2,,2,,3,,"OHIO
(40.060212, -82.404257)",
CONNECTICUT,2015,16,28,,239,,399,,3437,,4227,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.562661, -72.64984)",
CALIFORNIA,2015,16,807,,3390,,3966,,52115,,33913,,,-,34,,57,,338,,740,,"CALIFORNIA
(37.638642, -120.999996)",
MASSACHUSETTS,2015,16,193,,400,,534,,6201,,6444,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
MISSOURI,2015,16,158,,550,,631,,8276,,8277,,,-,0,,1,,1,,5,,"MISSOURI
(38.635791, -92.566299)",
MINNESOTA,2015,16,6,,379,,430,,4174,,5995,,,-,1,,6,,,-,22,,"MINNESOTA
(46.355649, -94.7942)",
RHODE ISLAND,2015,16,88,,83,,243,,1430,,1271,,,-,0,,1,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
PACIFIC,2015,16,1458,,4445,,4956,,66493,,50423,,,-,35,,57,,340,,740,,,
UNITED STATES,2015,16,14881,,27480,,29891,,404406,,414810,,146,,127,,234,,1952,,2981,,,
IOWA,2015,16,10,,227,,259,,3231,,3659,,,N,0,,0,,,N,,N,"IOWA
(42.469401, -93.816487)",
ALASKA,2015,16,11,,105,,142,,1478,,1895,,,N,0,,0,,,N,,N,"ALASKA
(64.845078, -147.72206)",
W.N. CENTRAL,2015,16,441,,1653,,1844,,23822,,26063,,,-,1,,6,,4,,28,,,
C.N.M.I.,2015,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
WISCONSIN,2015,16,233,,444,,545,,6474,,6706,,,-,0,,1,,,-,3,,"WISCONSIN
(44.393191, -89.816366)",
MAINE,2015,16,86,,77,,123,,1264,,982,,,N,0,,0,,,N,,N,"MAINE
(45.254229, -68.985026)",
MID. ATLANTIC,2015,16,2163,,3485,,3956,,54021,,52583,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,16,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,AMER. SAMOA,
UTAH,2015,16,62,,155,,203,,2364,,2584,,,-,1,,3,,8,,15,,"UTAH
(39.360701, -111.587128)",
MISSISSIPPI,2015,16,176,,356,,811,,2141,,12599,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745513, -89.538027)",
NEW YORK,2015,16,834,,751,,1163,,11640,,10580,,,N,0,,0,,,N,,N,"NEW YORK
(42.827004, -75.543966)",
ILLINOIS,2015,16,53,,1197,,1390,,12513,,19549,,,N,0,,0,,,N,,N,"ILLINOIS
(40.485012, -88.997709)",
NEW JERSEY,2015,16,240,,588,,690,,8742,,9158,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.130571, -74.273688)",
HAWAII,2015,16,1,,118,,162,,1772,,1950,,,N,0,,0,,,N,,N,"HAWAII
(21.304852, -157.857748)",
INDIANA,2015,16,284,,541,,920,,8189,,8554,,,N,0,,0,,,N,,N,"INDIANA
(39.766913, -86.149956)",
GEORGIA,2015,16,384,,998,,1148,,13122,,15551,,,N,0,,0,,,N,,N,"GEORGIA
(32.839683, -83.627579)",
NORTH CAROLINA,2015,16,1140,,936,,2546,,23111,,17857,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.46622, -79.15925)",
MARYLAND,2015,16,384,,512,,934,,5977,,6489,,1,,0,,2,,2,,1,,"MARYLAND
(39.290583, -76.60926)",
