Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2
US RESIDENTS,2019,1,,-,2,,,-,,-,78,,503,,78,,503,,,US RESIDENTS
NEW ENGLAND,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND
MIDDDLE ATLANTIC,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDDLE ATLANTIC
NEW YORK CITY,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY
EAST NORTH CENTRAL,2019,1,,-,1,,,-,,-,,-,6,,,-,1,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,1,,-,0,,,-,,-,,-,6,,,-,6,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,1,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,1,,-,1,,,-,,-,69,,243,,69,,243,,,MOUNTAIN
PACIFIC,2019,1,,-,1,,,-,,-,9,,253,,9,,253,,,PACIFIC
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
