Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
ALASKA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20190158
NEW HAMPSHIRE,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190106
MOUNTAIN,2019,1,,-,1,,,-,,-,69,,243,,69,,243,,,MOUNTAIN,20190148
PACIFIC,2019,1,,-,1,,,-,,-,9,,253,,9,,253,,,PACIFIC,20190157
IDAHO,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20190151
MICHIGAN,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190117
KENTUCKY,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190140
WEST NORTH CENTRAL,2019,1,,-,0,,,-,,-,,-,6,,,-,6,,,WEST NORTH CENTRAL,20190120
EAST SOUTH CENTRAL,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20190138
DISTRICT OF COLUMBIA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190130
UTAH,2019,1,,-,0,,,-,,-,,-,2,,,-,2,,"UTAH
(39.323779, -111.678222)",,20190155
CALIFORNIA,2019,1,,-,1,,,-,,-,9,,251,,9,,251,,"CALIFORNIA
(37.211164, -119.662127)",,20190159
TENNESSEE,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20190142
NEW MEXICO,2019,1,,-,0,,,-,,-,,-,4,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20190154
WISCONSIN,2019,1,,-,0,,,-,,-,,-,3,,,-,1,,"WISCONSIN
(44.639954, -89.732969)",,20190119
MISSOURI,2019,1,,-,0,,,-,,-,,-,3,,,-,1,,"MISSOURI
(38.3675, -92.477244)",,20190124
NEBRASKA,2019,1,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20190125
OKLAHOMA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20190146
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190166
WASHINGTON,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20190162
NEW JERSEY,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20190110
ARIZONA,2019,1,,-,1,,,-,,-,69,,239,,69,,239,,"ARIZONA
(34.293239, -111.664616)",,20190149
ALABAMA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20190139
INDIANA,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190116
FLORIDA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20190131
