Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US RESIDENTS,2020,2,,-,2,,,-,,-,239,,477,,449,,557,,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20200204,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,1,,,-,,-,1,,5,,2,,2,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,1,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
MICHIGAN,2020,2,,-,1,,,-,,-,,-,3,,,-,2,,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,,-,0,,,-,,-,1,,3,,2,,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
IOWA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,0,,,-,,-,,-,5,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,,-,0,,,-,,-,1,,2,,1,,,-,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NEBRASKA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,,-,1,,,-,,-,,-,1,,,-,1,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
GEORGIA,2020,2,,-,1,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,,-,1,,,-,,-,,-,1,,,-,1,,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,0,,,-,,-,,-,3,,,-,,-,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,0,,,-,,-,,-,3,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200247,POINT (-99.317341 31.447238)
ARIZONA,2020,2,,-,0,,,-,,-,224,,380,,427,,282,,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20200251,POINT (-114.659366 44.389073)
NEVADA,2020,2,,-,1,,,-,,-,,-,7,,,-,5,,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,,-,0,,,-,,-,,-,9,,,-,4,,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,0,,,-,,-,,-,4,,,-,3,,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
PACIFIC,2020,2,,-,0,,,-,,-,13,,250,,19,,260,,,PACIFIC,20200257,
ALASKA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,,-,0,,,-,,-,13,,250,,19,,259,,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,-,0,,,-,,-,,-,1,,,-,1,,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
MONTANA,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
TOTAL,2020,1,,-,2,,,-,,-,213,,477,,213,,236,,,TOTAL,20200170,
OREGON,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
UTAH,2020,1,,-,0,,,-,,-,,-,4,,,-,3,,UTAH,,20200155,POINT (-111.678222 39.323779)
ARIZONA,2020,1,,-,0,,,-,,-,208,,389,,208,,111,,ARIZONA,,20200149,POINT (-111.664616 34.293239)
CONNECTICUT,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
NEW YORK,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
KANSAS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
WEST SOUTH CENTRAL,2020,1,,-,0,,,-,,-,,-,3,,,-,,-,,WEST SOUTH CENTRAL,20200143,
VERMONT,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200108,POINT (-72.662695 44.075252)
WYOMING,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,,NON-US RESIDENTS,20200169,
OHIO,2020,1,,-,0,,,-,,-,1,,3,,1,,,-,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
WISCONSIN,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
ILLINOIS,2020,1,,-,1,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
NEW YORK CITY,2020,1,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20200112,
PACIFIC,2020,1,,-,0,,,-,,-,4,,250,,4,,116,,,PACIFIC,20200157,
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
GEORGIA,2020,1,,-,1,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20200132,POINT (-83.426574 32.638481)
NORTH DAKOTA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
NORTH CAROLINA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
NEW ENGLAND,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20200102,
MISSOURI,2020,1,,-,0,,,-,,-,,-,2,,,-,,-,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20200160,POINT (-157.854309 21.361013)
KENTUCKY,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
TENNESSEE,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
NEVADA,2020,1,,-,1,,,-,,-,,-,7,,,-,4,,NEVADA,,20200153,POINT (-114.916992 39.283294)
