Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
MINNESOTA,2021,13,,-,0,,,-,,-,1,,5,,20,,25,,MINNESOTA,,20211323,POINT (-94.198308 46.349153)
MISSOURI,2021,13,,-,0,,,-,,-,,-,2,,,-,6,,MISSOURI,,20211324,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20211327,POINT (-100.230491 44.43614)
FLORIDA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20211331,POINT (-82.420978 28.260731)
GEORGIA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20211332,POINT (-83.426574 32.638481)
SOUTH CAROLINA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20211335,POINT (-80.864614 33.878572)
VIRGINIA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20211336,POINT (-78.666382 37.510861)
WEST VIRGINIA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20211337,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2021,13,,-,0,,,-,,-,,-,1,,,-,2,,,EAST SOUTH CENTRAL,20211338,
ALABAMA,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20211339,POINT (-86.844516 32.756889)
KENTUCKY,2021,13,,-,0,,,-,,-,,-,1,,,-,2,,KENTUCKY,,20211340,POINT (-85.290484 37.526683)
MISSISSIPPI,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20211341,POINT (-89.65344 32.713378)
TENNESSEE,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20211342,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2021,13,,-,1,,,-,,-,,-,1,,2,,8,,,WEST SOUTH CENTRAL,20211343,
ARKANSAS,2021,13,,-,0,,,-,,-,,-,1,,1,,4,,ARKANSAS,,20211344,POINT (-92.439162 34.899825)
LOUISIANA,2021,13,,-,1,,,-,,-,,-,1,,1,,4,,LOUISIANA,,20211345,POINT (-91.840238 30.921314)
OKLAHOMA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20211346,POINT (-97.508297 35.583449)
TEXAS,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20211347,POINT (-99.317341 31.447238)
MOUNTAIN,2021,13,,-,0,,,-,,-,231,,394,,3769,,2549,,,MOUNTAIN,20211348,
ARIZONA,2021,13,,-,0,,,-,,-,231,,385,,3736,,2493,,ARIZONA,,20211349,POINT (-111.664616 34.293239)
COLORADO,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20211350,POINT (-105.547832 38.998552)
IDAHO,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20211351,POINT (-114.659366 44.389073)
MONTANA,2021,13,,-,0,,,-,,-,,-,2,,1,,3,,MONTANA,,20211352,POINT (-109.645127 47.033521)
NEVADA,2021,13,,-,0,,,-,,-,,-,9,,26,,39,,NEVADA,,20211353,POINT (-114.916992 39.283294)
NEW MEXICO,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20211354,POINT (-106.108388 34.421369)
UTAH,2021,13,,-,0,,,-,,-,,-,3,,6,,14,,UTAH,,20211355,POINT (-111.678222 39.323779)
WYOMING,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20211356,POINT (-107.55145 42.999627)
PACIFIC,2021,13,,-,0,,,-,,-,45,,118,,729,,1252,,,PACIFIC,20211357,
ALASKA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20211358,POINT (-151.631889 63.631126)
CALIFORNIA,2021,13,,-,0,,,-,,-,45,,118,,728,,1249,,CALIFORNIA,,20211359,POINT (-119.662127 37.211164)
HAWAII,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20211360,POINT (-157.854309 21.361013)
OREGON,2021,13,,-,0,,,-,,-,,-,2,,1,,3,,OREGON,,20211361,POINT (-120.605279 43.940449)
WASHINGTON,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20211362,POINT (-120.592492 47.411715)
US TERRITORIES,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20211363,
AMERICAN SAMOA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20211364,
NORTHERN MARIANA ISLANDS,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211365,POINT (145.725693 15.1834)
GUAM,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20211366,POINT (144.653198 13.3532)
