Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2022†","Cholera, Cum 2022†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2022†","Coccidioidomycosis, Cum 2022†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocoding
TOTAL,2022,5,,-,1,,,-,,-,12,,495,,851,,2360,,,TOTAL,202200570,
UTAH,2022,2,,-,0,,,-,,-,,-,5,,,-,3,,UTAH,,202200255,POINT (-111.678222 39.323779)
NORTH CAROLINA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,202200234,POINT (-79.130883 35.52603)
NEW HAMPSHIRE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200206,POINT (-71.57139 43.680429)
IDAHO,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,202200251,POINT (-114.659366 44.389073)
ARKANSAS,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,ARKANSAS,,202200244,POINT (-92.439162 34.899825)
CALIFORNIA,2022,2,,-,1,,,-,,-,8,,206,,20,,273,,CALIFORNIA,,202200259,POINT (-119.662127 37.211164)
TENNESSEE,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,202200242,POINT (-86.343226 35.842998)
NEW YORK CITY,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK CITY,,202200212,
FLORIDA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,202200231,POINT (-82.420978 28.260731)
SOUTH DAKOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200227,POINT (-100.230491 44.43614)
OHIO,2022,2,,-,0,,,-,,-,,-,2,,1,,,-,OHIO,,202200218,POINT (-82.70936 40.415534)
NEW YORK,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,202200211,POINT (-75.59655 42.921241)
MIDDLE ATLANTIC,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,202200209,
PUERTO RICO,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,202200267,POINT (-66.414655 18.215692)
PENNSYLVANIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,202200213,POINT (-77.838886 40.896694)
OREGON,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,OREGON,,202200261,POINT (-120.605279 43.940449)
NON-US RESIDENTS,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,202200269,
KENTUCKY,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,KENTUCKY,,202200240,POINT (-85.290484 37.526683)
NEW ENGLAND,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,202200302,
CONNECTICUT,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,202200303,POINT (-72.738288 41.575155)
NEW MEXICO,2022,3,,-,0,,,-,,-,,-,2,,,-,,-,NEW MEXICO,,202200354,POINT (-106.108388 34.421369)
WEST SOUTH CENTRAL,2022,3,,-,0,,,-,,-,,-,2,,,-,,-,,WEST SOUTH CENTRAL,202200343,
ILLINOIS,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,202200315,POINT (-89.148632 40.124144)
MOUNTAIN,2022,3,,-,0,,,-,,-,,-,331,,480,,958,,,MOUNTAIN,202200348,
PUERTO RICO,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,202200367,POINT (-66.414655 18.215692)
VIRGINIA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,202200336,POINT (-78.666382 37.510861)
UTAH,2022,3,,-,0,,,-,,-,,-,5,,,-,3,,UTAH,,202200355,POINT (-111.678222 39.323779)
TOTAL,2022,3,,-,1,,,-,,-,,-,496,,507,,1429,,,TOTAL,202200370,
GUAM,2022,3,,-,0,,,-,,-,,-,1,,,-,,-,GUAM,,202200366,POINT (144.653198 13.3532)
US RESIDENTS,2022,3,,-,1,,,-,,-,,-,496,,507,,1429,,,US RESIDENTS,202200301,
DISTRICT OF COLUMBIA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,202200330,POINT (-77.016275 38.904785)
HAWAII,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,202200360,POINT (-157.854309 21.361013)
TOTAL,2022,2,,-,1,,,-,,-,34,,534,,371,,895,,,TOTAL,202200270,
TEXAS,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,202200247,POINT (-99.317341 31.447238)
MINNESOTA,2022,2,,-,0,,,-,,-,,-,5,,,-,6,,MINNESOTA,,202200223,POINT (-94.198308 46.349153)
AMERICAN SAMOA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,AMERICAN SAMOA,,202200264,
MOUNTAIN,2022,2,,-,0,,,-,,-,26,,345,,349,,613,,,MOUNTAIN,202200248,
MARYLAND,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,MARYLAND,,202200233,POINT (-76.687282 38.946466)
NEVADA,2022,2,,-,0,,,-,,-,1,,8,,1,,8,,NEVADA,,202200253,POINT (-114.916992 39.283294)
NEW MEXICO,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,NEW MEXICO,,202200254,POINT (-106.108388 34.421369)
NEW JERSEY,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,202200210,POINT (-74.655514 40.110253)
MONTANA,2022,2,,-,0,,,-,,-,,-,3,,2,,1,,MONTANA,,202200252,POINT (-109.645127 47.033521)
SOUTH ATLANTIC,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,,SOUTH ATLANTIC,202200228,
RHODE ISLAND,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200207,POINT (-71.534637 41.572574)
EAST SOUTH CENTRAL,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL,202200238,
NEW ENGLAND,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,202200202,
ALASKA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,202200258,POINT (-151.631889 63.631126)
WASHINGTON,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,202200262,POINT (-120.592492 47.411715)
MICHIGAN,2022,2,,-,0,,,-,,-,,-,3,,,-,1,,MICHIGAN,,202200217,POINT (-85.730977 44.874798)
NEBRASKA,2022,2,,-,0,,,-,,-,,-,7,,1,,,-,NEBRASKA,,202200225,POINT (-99.810595 41.527099)
WEST SOUTH CENTRAL,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,,WEST SOUTH CENTRAL,202200243,
GEORGIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,202200232,POINT (-83.426574 32.638481)
ILLINOIS,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,202200215,POINT (-89.148632 40.124144)
ALABAMA,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,ALABAMA,,202200239,POINT (-86.844516 32.756889)
U.S. VIRGIN ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200268,
ARIZONA,2022,2,,-,0,,,-,,-,25,,341,,346,,601,,ARIZONA,,202200249,POINT (-111.664616 34.293239)
PACIFIC,2022,2,,-,1,,,-,,-,8,,206,,20,,273,,,PACIFIC,202200257,
WEST VIRGINIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,202200237,POINT (-80.613729 38.642579)
MISSISSIPPI,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,202200241,POINT (-89.65344 32.713378)
WEST NORTH CENTRAL,2022,2,,-,0,,,-,,-,,-,8,,1,,8,,,WEST NORTH CENTRAL,202200220,
US TERRITORIES,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,202200263,
DELAWARE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200229,POINT (-75.452394 38.994926)
US RESIDENTS,2022,2,,-,1,,,-,,-,34,,534,,371,,895,,,US RESIDENTS,202200201,
MASSACHUSETTS,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,202200205,POINT (-71.481104 42.151077)
IOWA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,202200221,POINT (-93.500061 42.074659)
INDIANA,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,202200216,POINT (-86.2818 39.919991)
HAWAII,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,202200260,POINT (-157.854309 21.361013)
WISCONSIN,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,WISCONSIN,,202200219,POINT (-89.732969 44.639954)
LOUISIANA,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,LOUISIANA,,202200245,POINT (-91.840238 30.921314)
US TERRITORIES,2022,1,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,202200163,
TOTAL,2022,1,,-,1,,,-,,-,231,,534,,231,,361,,,TOTAL,202200170,
WEST SOUTH CENTRAL,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,,WEST SOUTH CENTRAL,202200143,
ILLINOIS,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,202200115,POINT (-89.148632 40.124144)
SOUTH DAKOTA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200127,POINT (-100.230491 44.43614)
VERMONT,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,202200108,POINT (-72.662695 44.075252)
NEW JERSEY,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,202200110,POINT (-74.655514 40.110253)
HAWAII,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,202200160,POINT (-157.854309 21.361013)
NEW MEXICO,2022,1,,-,0,,,-,,-,,-,1,,,-,,-,NEW MEXICO,,202200154,POINT (-106.108388 34.421369)
GEORGIA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,202200132,POINT (-83.426574 32.638481)
DISTRICT OF COLUMBIA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,202200130,POINT (-77.016275 38.904785)
ALABAMA,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,ALABAMA,,202200139,POINT (-86.844516 32.756889)
CONNECTICUT,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,202200203,POINT (-72.738288 41.575155)
VIRGINIA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,202200136,POINT (-78.666382 37.510861)
WYOMING,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200156,POINT (-107.55145 42.999627)
MARYLAND,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,MARYLAND,,202200133,POINT (-76.687282 38.946466)
WEST VIRGINIA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,202200137,POINT (-80.613729 38.642579)
US RESIDENTS,2022,1,,-,1,,,-,,-,231,,534,,231,,361,,,US RESIDENTS,202200101,
NEBRASKA,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,NEBRASKA,,202200125,POINT (-99.810595 41.527099)
CALIFORNIA,2022,1,,-,1,,,-,,-,10,,212,,10,,61,,CALIFORNIA,,202200159,POINT (-119.662127 37.211164)
CONNECTICUT,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,202200103,POINT (-72.738288 41.575155)
SOUTH ATLANTIC,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,,SOUTH ATLANTIC,202200128,
KANSAS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200122,POINT (-98.38018 38.484729)
NORTHERN MARIANA ISLANDS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200165,POINT (145.725693 15.1834)
MASSACHUSETTS,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,202200105,POINT (-71.481104 42.151077)
NEVADA,2022,1,,-,0,,,-,,-,,-,8,,,-,5,,NEVADA,,202200153,POINT (-114.916992 39.283294)
NEW YORK CITY,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK CITY,,202200112,
ALASKA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,202200158,POINT (-151.631889 63.631126)
COLORADO,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,202200150,POINT (-105.547832 38.998552)
NEW HAMPSHIRE,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200106,POINT (-71.57139 43.680429)
AMERICAN SAMOA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,AMERICAN SAMOA,,202200164,
OHIO,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,OHIO,,202200118,POINT (-82.70936 40.415534)
MAINE,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,202200104,POINT (-69.06137 45.117911)
WEST NORTH CENTRAL,2022,1,,-,0,,,-,,-,,-,7,,,-,5,,,WEST NORTH CENTRAL,202200120,
RHODE ISLAND,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200107,POINT (-71.534637 41.572574)
NORTH CAROLINA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,202200134,POINT (-79.130883 35.52603)
PUERTO RICO,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,202200167,POINT (-66.414655 18.215692)
MIDDLE ATLANTIC,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,202200109,
TENNESSEE,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,202200142,POINT (-86.343226 35.842998)
TEXAS,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,202200147,POINT (-99.317341 31.447238)
ARKANSAS,2022,1,,-,0,,,-,,-,,-,1,,,-,,-,ARKANSAS,,202200144,POINT (-92.439162 34.899825)
IDAHO,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,202200151,POINT (-114.659366 44.389073)
EAST SOUTH CENTRAL,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL,202200138,
PENNSYLVANIA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,202200113,POINT (-77.838886 40.896694)
MOUNTAIN,2022,1,,-,0,,,-,,-,221,,345,,221,,294,,,MOUNTAIN,202200148,
NEW YORK,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,202200111,POINT (-75.59655 42.921241)
MINNESOTA,2022,1,,-,0,,,-,,-,,-,5,,,-,4,,MINNESOTA,,202200123,POINT (-94.198308 46.349153)
WISCONSIN,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,WISCONSIN,,202200119,POINT (-89.732969 44.639954)
MONTANA,2022,1,,-,0,,,-,,-,1,,3,,1,,,-,MONTANA,,202200152,POINT (-109.645127 47.033521)
OREGON,2022,1,,-,0,,,-,,-,,-,2,,,-,,-,OREGON,,202200161,POINT (-120.605279 43.940449)
U.S. VIRGIN ISLANDS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200168,
INDIANA,2022,1,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,202200116,POINT (-86.2818 39.919991)
NEW ENGLAND,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,202200102,
OKLAHOMA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,202200146,POINT (-97.508297 35.583449)
IOWA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,202200121,POINT (-93.500061 42.074659)
KENTUCKY,2022,1,,-,0,,,-,,-,,-,1,,,-,,-,KENTUCKY,,202200140,POINT (-85.290484 37.526683)
UTAH,2022,1,,-,0,,,-,,-,,-,5,,,-,2,,UTAH,,202200155,POINT (-111.678222 39.323779)
