,MMWR Year,Reporting Area,TAVG,PRCP,"Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2021†"
0,2021,ALABAMA,64.2,5.43,2,3,9
1,2021,ALABAMA,64.2,5.43,2,3,9
2,2021,ALABAMA,64.2,5.43,2,5,9
3,2021,ALABAMA,64.2,5.43,2,5,9
4,2021,ALABAMA,64.2,5.43,2,5,9
5,2021,ALABAMA,64.2,5.43,2,3,9
6,2021,ARIZONA,62.1,1.0475,385,2493,3736
7,2021,ARIZONA,62.1,1.0475,385,341,639
8,2021,ARIZONA,62.1,1.0475,385,152,291
9,2021,ARIZONA,62.1,1.0475,384,566,797
10,2021,ARIZONA,62.1,1.0475,385,2041,3012
11,2021,ARIZONA,62.1,1.0475,384,768,1106
12,2021,ARIZONA,62.1,1.0475,384,1031,1415
13,2021,ARIZONA,62.1,1.0475,384,1235,1758
14,2021,ARIZONA,62.1,1.0475,385,1434,2130
15,2021,ARIZONA,62.1,1.0475,385,1630,2421
16,2021,ARIZONA,62.1,1.0475,385,2573,3955
17,2021,ARIZONA,62.1,1.0475,385,1830,2653
18,2021,ARIZONA,62.1,1.0475,385,2218,3255
19,2021,ARIZONA,62.1,1.0475,385,2382,3511
20,2021,ARIZONA,62.1,1.0475,385,2907,4531
21,2021,ARIZONA,62.1,1.0475,385,3603,5508
22,2021,ARIZONA,62.1,1.0475,385,2677,4157
23,2021,ARIZONA,62.1,1.0475,385,3480,5352
24,2021,ARIZONA,62.1,1.0475,385,2786,4369
25,2021,ARIZONA,62.1,1.0475,385,3008,4732
26,2021,ARIZONA,62.1,1.0475,385,4301,6259
27,2021,ARIZONA,62.1,1.0475,385,3150,4956
28,2021,ARIZONA,62.1,1.0475,385,5395,7358
29,2021,ARIZONA,62.1,1.0475,385,3302,5139
30,2021,ARIZONA,62.1,1.0475,385,3768,5689
31,2021,ARIZONA,62.1,1.0475,385,4444,6416
32,2021,ARIZONA,62.1,1.0475,385,3929,5917
33,2021,ARIZONA,62.1,1.0475,366,7224,8573
34,2021,ARIZONA,62.1,1.0475,385,4104,6068
35,2021,ARIZONA,62.1,1.0475,385,4610,6638
36,2021,ARIZONA,62.1,1.0475,385,5607,7500
37,2021,ARIZONA,62.1,1.0475,385,4808,6850
38,2021,ARIZONA,62.1,1.0475,367,9840,10514
39,2021,ARIZONA,62.1,1.0475,385,4990,7013
40,2021,ARIZONA,62.1,1.0475,366,7491,8782
41,2021,ARIZONA,62.1,1.0475,385,5176,7173
42,2021,ARIZONA,62.1,1.0475,385,5785,7771
43,2021,ARIZONA,62.1,1.0475,385,6076,7934
44,2021,ARIZONA,62.1,1.0475,366,6460,8067
45,2021,ARIZONA,62.1,1.0475,366,7751,8931
46,2021,ARIZONA,62.1,1.0475,366,6718,8238
47,2021,ARIZONA,62.1,1.0475,367,10205,10861
48,2021,ARIZONA,62.1,1.0475,366,6944,8376
49,2021,ARIZONA,62.1,1.0475,366,8004,9085
50,2021,ARIZONA,62.1,1.0475,366,8275,9333
51,2021,ARIZONA,62.1,1.0475,367,10571,11164
52,2021,ARIZONA,62.1,1.0475,366,8546,9541
53,2021,ARIZONA,62.1,1.0475,367,8835,9762
54,2021,ARIZONA,62.1,1.0475,353,10938,11413
55,2021,ARIZONA,62.1,1.0475,367,9155,10013
56,2021,ARIZONA,62.1,1.0475,367,9520,10244
57,2021,ARIZONA,62.1,1.0475,353,11174,11627
58,2021,ARKANSAS,61.35,4.185833333,1,4,1
59,2021,ARKANSAS,61.35,4.185833333,1,4,2
60,2021,ARKANSAS,61.35,4.185833333,3,1,2
61,2021,ARKANSAS,61.35,4.185833333,1,4,2
62,2021,ARKANSAS,61.35,4.185833333,1,4,2
63,2021,ARKANSAS,61.35,4.185833333,1,4,2
64,2021,ARKANSAS,61.35,4.185833333,1,4,1
65,2021,ARKANSAS,61.35,4.185833333,1,4,2
66,2021,ARKANSAS,61.35,4.185833333,1,4,2
67,2021,ARKANSAS,61.35,4.185833333,1,4,1
68,2021,ARKANSAS,61.35,4.185833333,1,4,1
69,2021,ARKANSAS,61.35,4.185833333,1,4,1
