,Reporting Area,MMWR Year,"Coccidioidomycosis, Cum Current Year","Coccidioidomycosis, Cum Previous Year",TAVG,PRCP
7,ALABAMA,2021,9.0,4.0,64.2,5.43
18,ARIZONA,2014,3002.396226415094,2946.2075471698113,62.25,0.9225
19,ARIZONA,2015,3419.75,3164.846153846154,61.75,1.19916666666667
20,ARIZONA,2016,3187.673076923077,3398.8846153846152,62.175,1.02333333333333
21,ARIZONA,2017,3041.2115384615386,3110.9615384615386,63.0333333333333,0.789166666666667
22,ARIZONA,2018,4167.442307692308,2959.769230769231,62.2666666666667,0.9725
23,ARIZONA,2019,5006.5192307692305,4004.5,60.2583333333333,1.22416666666667
24,ARIZONA,2020,5167.698113207547,5008.169811320755,62.6166666666667,0.546666666666667
25,ARIZONA,2021,6202.557692307692,4927.903846153846,62.1,1.0475
26,ARIZONA,2022,439.8,915.8,61.2333333333333,1.00583333333333
28,ARKANSAS,2015,3.125,,61.4,5.60916666666667
29,ARKANSAS,2016,1.0,2.6923076923076925,62.7916666666667,4.20333333333333
30,ARKANSAS,2017,1.6904761904761905,1.0,62.5416666666667,4.18833333333333
31,ARKANSAS,2018,3.306122448979592,2.441860465116279,61.1666666666667,5.36
32,ARKANSAS,2019,6.0,3.8461538461538463,61.2166666666667,5.47083333333333
33,ARKANSAS,2020,3.1818181818181817,5.181818181818182,61.15,5.31833333333333
34,ARKANSAS,2021,2.2,5.125,61.35,4.18583333333333
36,CALIFORNIA,2014,1077.7924528301887,1619.8490566037735,61.45,1.65833333333333
37,CALIFORNIA,2015,1193.0961538461538,1141.6538461538462,60.7583333333333,1.25333333333333
38,CALIFORNIA,2016,1467.450980392157,1443.6346153846155,60.1333333333333,2.14416666666667
39,CALIFORNIA,2017,1627.9615384615386,2175.25,60.3416666666667,2.3475
40,CALIFORNIA,2018,3010.470588235294,2704.576923076923,60.125,1.5075
41,CALIFORNIA,2019,3462.3653846153848,3889.8076923076924,58.4083333333333,2.42666666666667
42,CALIFORNIA,2020,471.54901960784315,4111.692307692308,60.5166666666667,1.00583333333333
43,CALIFORNIA,2021,2954.326923076923,3117.9423076923076,60.35,1.5775
44,CALIFORNIA,2022,53.2,439.8,60.05,1.175
65,DELAWARE,2016,1.2083333333333333,,57.37,3.81
121,INDIANA,2018,3.0,,52.59,4.17
123,INDIANA,2020,1.5,,53.29,3.53
124,INDIANA,2021,2.6,9.142857142857142,53.5,3.79
147,KENTUCKY,2017,1.8048780487804879,1.0,57.82,4.19
149,KENTUCKY,2019,2.5,,57.48,5.11
150,KENTUCKY,2020,4.857142857142857,2.125,57.14,4.84
151,KENTUCKY,2021,4.090909090909091,5.214285714285714,56.96,4.45
152,KENTUCKY,2022,1.0,,56.33,4.11
153,LOUISIANA,2014,1.5333333333333334,2.765957446808511,65.08,4.66
154,LOUISIANA,2015,2.3529411764705883,1.5625,68.09,5.61
155,LOUISIANA,2016,5.434782608695652,2.119047619047619,68.74,5.59
156,LOUISIANA,2017,1.631578947368421,8.01923076923077,68.72,5.34
157,LOUISIANA,2018,7.434782608695652,3.625,67.78,5.53
158,LOUISIANA,2019,5.222222222222222,10.434782608695652,67.71,5.16
159,LOUISIANA,2020,3.1666666666666665,9.294117647058824,68.16,5.58
160,LOUISIANA,2021,7.461538461538462,4.764705882352941,67.48,5.52
171,MARYLAND,2014,4.653061224489796,3.6,53.57,3.73
172,MARYLAND,2015,3.6052631578947367,4.666666666666667,55.44,3.91
173,MARYLAND,2016,3.3333333333333335,4.342105263157895,56.47,3.47
174,MARYLAND,2017,4.341463414634147,4.354166666666667,56.68,3.43
175,MARYLAND,2018,3.275,4.837209302325581,55.93,5.39
176,MARYLAND,2019,3.75,2.5555555555555554,56.56,3.56
177,MARYLAND,2020,2.1,4.454545454545454,57.2,4.4
178,MARYLAND,2021,2.75,2.4,56.84,3.46
189,MICHIGAN,2014,20.36,7.471698113207547,41.8833333333333,3.055
190,MICHIGAN,2015,10.829787234042554,20.901960784313726,45.1083333333333,2.645
191,MICHIGAN,2016,18.458333333333332,11.97872340425532,47.3666666666667,2.98833333333333
192,MICHIGAN,2017,9.911111111111111,20.745098039215687,46.2916666666667,3.2725
193,MICHIGAN,2018,15.5,11.557692307692308,45.1083333333333,3.01416666666667
194,MICHIGAN,2019,15.323529411764707,20.81081081081081,43.9333333333333,3.48583333333333
195,MICHIGAN,2020,12.473684210526315,22.435897435897434,46.5416666666667,2.9425
196,MICHIGAN,2021,20.294117647058822,20.23076923076923,47.4,2.74
198,MINNESOTA,2014,56.61538461538461,38.951219512195124,38.64,2.43
199,MINNESOTA,2015,59.02777777777778,47.4,43.49,2.46
200,MINNESOTA,2016,38.5625,45.80392156862745,44.57,2.8
201,MINNESOTA,2017,48.5,35.13461538461539,42.63,2.36
202,MINNESOTA,2018,33.17391304347826,37.21153846153846,40.59,2.51
203,MINNESOTA,2019,69.11538461538461,57.84313725490196,39.3,2.97
204,MINNESOTA,2020,47.52272727272727,51.208333333333336,42.41,2.03
205,MINNESOTA,2021,56.93023255813954,47.891304347826086,44.3,1.96
216,MISSOURI,2014,7.02,11.475,52.88,3.28
217,MISSOURI,2015,1.0,8.826923076923077,55.84,4.63
218,MISSOURI,2016,18.0,5.270833333333333,57.44,3.29
219,MISSOURI,2017,10.023809523809524,12.040816326530612,57.15,3.45
220,MISSOURI,2018,14.807692307692308,10.775510204081632,55.2,3.58
221,MISSOURI,2019,11.21875,15.176470588235293,54.98,4.49
222,MISSOURI,2020,7.666666666666667,15.73076923076923,55.76,3.86
223,MISSOURI,2021,12.9,12.38888888888889,56.3,3.67
225,MONTANA,2014,5.346938775510204,2.142857142857143,41.9083333333333,1.8
226,MONTANA,2015,5.553191489361702,5.36734693877551,44.8583333333333,1.40666666666667
227,MONTANA,2016,6.285714285714286,5.607843137254902,44.625,1.76416666666667
228,MONTANA,2017,8.058823529411764,6.980392156862745,43.175,1.4525
229,MONTANA,2018,11.181818181818182,8.942307692307692,41.275,1.665
230,MONTANA,2019,4.75,15.384615384615385,39.875,1.78416666666667
231,MONTANA,2020,6.7368421052631575,8.368421052631579,43.2833333333333,1.4075
232,MONTANA,2021,13.529411764705882,8.85,43.9666666666667,1.1925
233,MONTANA,2022,2.0,1.0,42.075,1.52333333333333
234,NEBRASKA,2014,1.8478260869565217,1.0,48.02,2.08
235,NEBRASKA,2015,4.51063829787234,2.422222222222222,50.8,2.34
236,NEBRASKA,2016,4.391304347826087,5.702127659574468,51.65,2.11
237,NEBRASKA,2017,5.458333333333333,4.0,50.67,2.11
238,NEBRASKA,2018,2.2745098039215685,3.5185185185185186,48.26,2.44
239,NEBRASKA,2019,3.8,3.4166666666666665,47.49,2.61
240,NEBRASKA,2020,5.6923076923076925,4.0,50.55,1.52
241,NEBRASKA,2021,2.875,9.61111111111111,51.04,1.88
242,NEBRASKA,2022,1.0,1.0,49.65,1.3
243,NEVADA,2014,35.58,40.31372549019608,53.03,0.83
244,NEVADA,2015,39.15686274509804,39.84313725490196,52.89,0.95
245,NEVADA,2016,6.607843137254902,49.36538461538461,51.93,0.93
246,NEVADA,2017,65.17777777777778,41.63461538461539,52.22,0.93
247,NEVADA,2018,11.7,77.78846153846153,52.01,0.77
248,NEVADA,2019,49.125,104.64,49.88,1.15
249,NEVADA,2020,20.444444444444443,56.46808510638298,52.44,0.49
250,NEVADA,2021,82.77083333333333,89.53846153846153,52.54,0.8
251,NEVADA,2022,4.0,11.2,51.62,0.71
252,NEW HAMPSHIRE,2014,1.9722222222222223,1.0,43.05,4.14
254,NEW HAMPSHIRE,2016,1.7567567567567568,,45.73,3.3
255,NEW HAMPSHIRE,2017,1.0,2.1627906976744184,44.93,4.1
256,NEW HAMPSHIRE,2018,1.0,1.2826086956521738,44.45,4.32
257,NEW HAMPSHIRE,2019,1.0,1.0,43.25,4.19
258,NEW HAMPSHIRE,2020,1.3333333333333333,1.0,45.85,3.48
270,NEW MEXICO,2014,12.625,16.28301886792453,54.81,1.1
271,NEW MEXICO,2015,11.846153846153847,20.520833333333332,54.94,1.61083333333333
272,NEW MEXICO,2016,8.0,18.403846153846153,55.52,1.07833333333333
273,NEW MEXICO,2017,6.766666666666667,14.490196078431373,56.38,1.23333333333333
274,NEW MEXICO,2018,23.46938775510204,12.097560975609756,55.51,1.06
275,NEW MEXICO,2019,31.65,31.477272727272727,54.45,1.115
277,NEW MEXICO,2021,2.2857142857142856,35.38461538461539,55.43,1.02833333333333
278,NEW MEXICO,2022,1.0,,54.59,1.17583333333333
297,NORTH DAKOTA,2014,5.930232558139535,5.622222222222222,45.12,3.56
298,NORTH DAKOTA,2015,4.354838709677419,4.0,47.32,3.71
299,NORTH DAKOTA,2016,2.8275862068965516,5.0625,46.58,3.42
300,NORTH DAKOTA,2017,2.871794871794872,4.818181818181818,45.83,3.8
301,NORTH DAKOTA,2018,1.0,4.276595744680851,46.02,3.67
302,NORTH DAKOTA,2019,1.6666666666666667,1.25,47.23,3.89
303,NORTH DAKOTA,2020,3.125,2.2222222222222223,46.44,3.65
304,NORTH DAKOTA,2021,2.0,4.5,48.13,3.45
306,OHIO,2014,8.442307692307692,4.5813953488372094,49.19,3.2
307,OHIO,2015,5.24,8.076923076923077,51.62,3.5
308,OHIO,2016,11.75,5.26,53.58,3.3
309,OHIO,2017,11.557692307692308,12.063829787234043,53.23,3.75
310,OHIO,2018,13.395833333333334,11.692307692307692,52.19,3.88
311,OHIO,2019,8.607142857142858,13.185185185185185,52.3916666666667,3.72
312,OHIO,2020,6.730769230769231,10.125,53.025,3.53
313,OHIO,2021,7.1875,5.944444444444445,53.175,3.6
314,OHIO,2022,1.5,,51.7333333333333,3.95
324,OREGON,2014,2.84375,3.0377358490566038,49.625,2.94083333333333
325,OREGON,2015,5.085106382978723,2.4285714285714284,50.3583333333333,2.51416666666667
326,OREGON,2016,5.119047619047619,4.615384615384615,48.7666666666667,2.89
327,OREGON,2017,4.901960784313726,7.239130434782608,48.0333333333333,3.01833333333333
